what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1416911549365
java.vendor,sysinfo,,,"Oracle Corporation",1416911549365
java.version,sysinfo,,,"1.7.0_25",1416911549365
java.vm.info,sysinfo,,,"mixed mode",1416911549365
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416911549365
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416911549365
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416911549365
java.vm.specification.version,sysinfo,,,"1.7",1416911549365
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416911549365
java.vm.version,sysinfo,,,"23.25-b01",1416911549365
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1416911551730
error,log,,,"Undefined context while filtering dialog/window contexts",1416911554813
activated,view,net.confex,0.9.3,"net.confex.view.navigationView",1416911554825
error,log,,,"The command (""net.confex.tree.AddTreeNodeAction"") is undefined",1416911555009
error,log,,,"The command (""net.confex.action.RunAction"") is undefined",1416911555011
error,log,,,"The command (""net.confex.action.RunChildrenAction"") is undefined",1416911555013
error,log,,,"The command (""net.confex.action.RunAsincAction"") is undefined",1416911555015
error,log,,,"The command (""net.confex.action.PropertyClipboardViewAction"") is undefined",1416911555016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911558994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911561156
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416911561288
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416911561365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911570427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911585478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1416911585525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1416911585525
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416911586615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911593719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911624320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911624335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911624448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911627183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911685986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911687214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911784482
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416911786329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911787753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911807747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1416911807792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1416911807792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911809452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911830141
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1416911831759
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1416911831860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911836445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911838709
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1416911839318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416911841203
